date,ret_1,ret_3,ret_6,volatility_6,volume_mean_6,rel_volume,rsi_14,spy_ret_1,sector_spy_diff,article_count,positive_proportion,neutral_proportion,negative_proportion,average_sentiment,max_positive_sentiment,max_negative_sentiment,sentiment_stddev,time_decayed_sentiment,entity_weighted_sentiment,holding_sentiment,abnormal_news_volume,article_novelty,source_weighted_sentiment,cross_article_disagreement,sector_breadth,macro_news_count,news_coverage,news_freshness_hours,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,target_next_close_up
2019-01-02,0.00514644,0.00813976,0.044856,0.0234334,2.32384e+07,0.782868,44.489,0.00104031,0.00410613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-03,-0.0283576,-0.0151696,0.0422476,0.0241607,2.27403e+07,0.864895,36.3719,-0.0238628,-0.00449483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-04,0.039319,0.0150435,0.0367974,0.0226033,2.00185e+07,0.894233,48.2114,0.0334957,0.00582325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-07,0.00351015,0.0133911,0.0216399,0.0217977,1.75334e+07,0.851894,50.5795,0.00788464,-0.0043745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-08,0.0104936,0.0539116,0.0379242,0.0214534,1.78253e+07,1.15887,56.644,0.00939533,0.00109828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-09,0.000384624,0.0144306,0.0296912,0.0215404,1.79343e+07,0.906106,55.662,0.00467349,-0.00428887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-10,0.00884274,0.0198212,0.0334778,0.0216012,1.7726e+07,0.955815,60.8889,0.00352756,0.00531518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-11,-0.00400151,0.00519232,0.0593839,0.0151503,1.65101e+07,0.749384,63.4847,0.000386303,-0.00438781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-14,-0.0076526,-0.00288354,0.0115055,0.00710188,1.7361e+07,1.32518,65.6759,-0.00610092,-0.00155168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-15,-0.00655485,-0.0181021,0.00136027,0.00780588,1.73872e+07,0.86812,72.0294,0.0114608,-0.0180157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-16,0.00388125,-0.010331,-0.00519232,0.00642627,1.85173e+07,1.48172,64.9539,0.00241984,0.00146141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-17,0.0175913,0.0148448,0.0119185,0.00991519,1.92107e+07,1.06248,64.9539,0.00758671,0.0100046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-18,0.0165273,0.0384242,0.0196265,0.0113418,1.9306e+07,0.907219,70.8181,0.01331,0.00321733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-22,-0.0138292,0.0201044,0.00956572,0.0131825,1.97218e+07,0.753827,63.2198,-0.0135105,-0.000318657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-23,-0.00682207,-0.00436929,0.0104107,0.0130688,1.7789e+07,0.641406,59.4657,0.00209244,-0.00891451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-24,-0.00534247,-0.0257895,0.0116437,0.0129225,1.70232e+07,0.616769,68.7248,0.000531431,-0.0058739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-25,0.0189909,0.00663253,0.0268703,0.0146903,1.40893e+07,0.697975,64.1539,0.00846143,0.0105295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-28,-0.00150599,0.0120206,0.00759881,0.0133029,1.26781e+07,0.942065,62.3438,-0.00760023,0.00609424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-29,0.0103695,0.0280069,0.00149508,0.0120973,1.25e+07,1.31568,62.4025,-0.00132699,0.0116965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-30,0.0106363,0.0195783,0.0263407,0.0103677,1.23799e+07,1.1427,65.3736,0.0158308,-0.00519446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-31,-0.0149557,0.0058446,0.0179355,0.0124712,1.46367e+07,1.70466,55.9508,0.00878244,-0.0237382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-01,0.00299906,-0.00149285,0.0264722,0.0118052,1.47333e+07,0.75197,58.5399,0.000481624,0.00251744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-04,-0.00168193,-0.0136633,0.00564758,0.00953114,1.42802e+07,0.498283,61.1511,0.00703545,-0.00871738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-05,0.0073007,0.00862236,0.0145174,0.00975212,1.37659e+07,0.643458,66.2857,0.00419185,0.00310885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-06,-0.00594684,-0.000373699,-0.00186599,0.00936711,1.26766e+07,0.781742,62.3596,-0.00131826,-0.00462859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-07,-0.0138344,-0.0125421,-0.026034,0.00900505,1.24415e+07,1.02367,50.7914,-0.0095328,-0.00430159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-08,-0.000947853,-0.0206281,-0.0121837,0.00735143,9.79017e+06,0.923661,43.3932,0.00122154,-0.00216939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-11,0.00151799,-0.0132736,-0.0136423,0.00717145,9.32977e+06,0.891405,50.0914,0.000554568,0.000963421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-12,0.022357,0.0229384,0.0101086,0.0123109,1.15004e+07,1.7512,62.3211,0.0128594,0.00949756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-13,0.00129725,0.0252372,0.00408841,0.0120053,1.24732e+07,1.17806,65.625,0.00324693,-0.00194968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-14,-0.00518228,0.0183782,0.00486069,0.011924,1.24499e+07,0.784747,55.8659,-0.00221821,-0.00296407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-15,0.0135814,0.00963678,0.0327962,0.0102877,1.28763e+07,1.1878,61.9601,0.0108973,0.00268413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-19,0.00624083,0.0146215,0.0402277,0.00981121,1.54573e+07,1.58689,60.5852,0.00173058,0.00451025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-20,0.017147,0.0373953,0.0564608,0.0102423,1.78409e+07,1.26776,62.945,0.00201547,0.0151315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-21,-0.00394543,0.0194567,0.029281,0.00911291,1.73349e+07,0.986669,69.5886,-0.00355587,-0.000389563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-22,0.00432117,0.0175118,0.0323894,0.00896228,1.64828e+07,0.581309,70.0177,0.00619999,-0.00187882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-25,0.00645394,0.00681494,0.0444651,0.00734714,1.69171e+07,0.731556,72.8957,0.00136123,0.00509271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-26,-0.00570003,0.00504139,0.0245962,0.00821756,1.64321e+07,0.753682,67.121,-0.000715447,-0.00498458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-27,-0.00161233,-0.000896365,0.0165998,0.0084234,1.38877e+07,0.66695,69.8582,-0.000429597,-0.00118273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-28,-0.0122017,-0.0194157,-0.0127331,0.00684448,1.30389e+07,1.34406,70.6093,-0.00186253,-0.0103392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
