date,ret_1,ret_3,ret_6,volatility_6,volume_mean_6,rel_volume,rsi_14,spy_ret_1,sector_spy_diff,article_count,positive_proportion,neutral_proportion,negative_proportion,average_sentiment,max_positive_sentiment,max_negative_sentiment,sentiment_stddev,time_decayed_sentiment,entity_weighted_sentiment,holding_sentiment,abnormal_news_volume,article_novelty,source_weighted_sentiment,cross_article_disagreement,sector_breadth,macro_news_count,news_coverage,news_freshness_hours,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,target_next_close_up
2019-01-02,0.0133237,0.0116083,0.050741,0.0254725,4.05373e+06,1.14112,39.5022,0.00104031,0.0122834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-03,-0.0167344,-0.00218341,0.0554272,0.0244848,3.97793e+06,0.863187,33.5797,-0.0238628,0.00712834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-04,0.0430343,0.0392443,0.0422741,0.0199137,3.73525e+06,0.708895,44.837,0.0334957,0.00953856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-07,0.0114219,0.0372937,0.049335,0.0199488,3.78188e+06,1.07047,49.009,0.00788464,0.00353722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-08,0.0168241,0.0726963,0.0703541,0.0193613,3.7007e+06,0.579566,56.1931,0.00939533,0.00742881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-09,0.00135996,0.0298368,0.070252,0.0193711,3.12357e+06,0.589326,55.6682,0.00467349,-0.00331353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-10,0.00203712,0.0202812,0.0583313,0.0196861,2.57602e+06,0.520377,61.1777,0.00352756,-0.00149043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-11,-0.00496953,-0.00158658,0.0709944,0.0169079,2.20838e+06,0.556018,64.5263,0.000386303,-0.00535584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-14,-0.00363223,-0.00656408,0.0230769,0.00853984,2.15788e+06,1.08667,74.9389,-0.00610092,0.00246869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-15,0.0166325,0.007906,0.0283475,0.00963627,1.8931e+06,1.2993,85.0062,0.0114608,0.00517167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-16,-0.00425815,0.00862659,0.00702632,0.00807707,4.92627e+06,4.12966,76.9358,0.00241984,-0.00667799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-17,0.00405132,0.0164047,0.00973292,0.0081637,5.1713e+06,0.640265,76.8977,0.00758671,-0.00353539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-18,0.00806995,0.00784407,0.0158121,0.00858261,5.51052e+06,0.61261,79.8092,0.01331,-0.00524006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-22,-0.0206805,-0.00877784,-0.000226977,0.0128156,6.02973e+06,0.720297,69.2737,-0.0135105,-0.00716997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-23,-0.00454134,-0.0172607,-0.00113919,0.0128722,6.06233e+06,0.419063,64.7577,0.00209244,-0.00663378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-24,0.00456206,-0.0206805,-0.0129986,0.0104763,6.13217e+06,0.469443,73.0586,0.000531431,0.00403063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-25,0.0127157,0.0127157,0.0038262,0.0119692,3.29838e+06,1.01295,66.6666,0.00846143,0.00425422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-28,-0.00874438,0.00843976,-0.00896663,0.0123775,3.46792e+06,1.24807,58.2,-0.00760023,-0.00114415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-29,-0.0117621,-0.00794737,-0.0284635,0.0119661,3.09497e+06,0.367726,45.5115,-0.00132699,-0.0104351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-30,0.0144198,-0.006278,0.00635783,0.011104,2.80077e+06,0.920462,51.306,0.0158308,-0.00141097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-31,0.0408394,0.0434291,0.0522354,0.0188286,3.17713e+06,1.51039,63.1356,0.00878244,0.0320569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-01,-0.00346846,0.0521859,0.0438238,0.0194393,3.42987e+06,1.28142,63.6752,0.000481624,-0.00395008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-04,0.00935393,0.0469314,0.0403588,0.0192984,3.4902e+06,1.061,67.2154,0.00703545,0.00231848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-05,0.0109913,0.0169087,0.0610722,0.0177749,3.16693e+06,0.754231,66.1952,0.00419185,0.0067995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-06,-0.0223833,-0.00239288,0.0496682,0.0207184,3.60207e+06,1.04076,59.0164,-0.00131826,-0.021065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-07,-0.00959447,-0.0211208,0.0248195,0.021567,3.56265e+06,0.657235,54.945,-0.0095328,-6.16716e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-08,0.00682522,-0.0251546,-0.00867118,0.0130941,3.19627e+06,0.813574,54.6683,0.00122154,0.00560368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-11,-0.0102777,-0.0130833,-0.0154449,0.0135956,2.80727e+06,0.734202,57.9427,0.000554568,-0.0108323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-12,0.0114892,0.00792604,-0.0133621,0.0139874,2.59723e+06,0.940578,62.125,0.0128594,-0.00137022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-13,0.000655365,0.00174944,-0.0234491,0.0126134,2.80258e+06,1.29192,61.3027,0.00324693,-0.00259157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-14,0.00371094,0.0159081,0.00261664,0.00882556,2.52832e+06,0.831897,59.2742,-0.00221821,0.00592915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-15,0.00434973,0.00873747,0.0167328,0.00735647,2.51865e+06,0.906636,63.5862,0.0108973,-0.00654753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
