date,ret_1,ret_3,ret_6,volatility_6,volume_mean_6,rel_volume,rsi_14,spy_ret_1,sector_spy_diff,article_count,positive_proportion,neutral_proportion,negative_proportion,average_sentiment,max_positive_sentiment,max_negative_sentiment,sentiment_stddev,time_decayed_sentiment,entity_weighted_sentiment,holding_sentiment,abnormal_news_volume,article_novelty,source_weighted_sentiment,cross_article_disagreement,sector_breadth,macro_news_count,news_coverage,news_freshness_hours,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,target_next_close_up
2019-01-02,0.0197036,0.0172203,0.0422384,0.033342,4.40385e+07,1.13049,35.2904,0.00104031,0.0186633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-03,-0.00991789,0.0148993,0.0754086,0.0259102,4.48445e+07,0.803848,33,-0.0238628,0.0139449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-04,0.0340241,0.0439407,0.0468613,0.0165159,4.22627e+07,1.01042,39.6736,0.0334957,0.000528403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-07,0.0148655,0.0389877,0.0568794,0.0166957,4.01558e+07,0.899331,46.136,0.00788464,0.00698089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-08,0.00773537,0.0575129,0.0732691,0.0146345,3.99075e+07,0.936782,50.8157,0.00939533,-0.00165996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-09,0.0158419,0.0389177,0.0845685,0.0143196,3.99247e+07,0.93961,58.3333,0.00467349,0.0111684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-10,0.0028939,0.0266623,0.0666895,0.0145372,3.80163e+07,1.00839,61.4396,0.00352756,-0.000633661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-11,-0.00593143,0.0127388,0.0709844,0.0134427,3.67103e+07,0.768499,66.8531,0.000386303,-0.00631774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-14,-0.00241893,-0.00546624,0.0332387,0.00889471,3.39903e+07,0.776203,71.5034,-0.00610092,0.003682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-15,0.00355644,-0.00480922,0.0217249,0.00763739,3.12452e+07,0.628654,86.3958,0.0114608,-0.00790437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-16,-0.00128869,-0.000161237,0.0125755,0.0075484,2.91948e+07,0.859133,79.8758,0.00241984,-0.00370853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-17,0.00919354,0.0114775,0.00594854,0.0053247,2.63341e+07,0.772747,80.5288,0.00758671,0.00160683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-18,0.0202973,0.0283505,0.0234049,0.0095272,2.47888e+07,1.17245,87.1038,0.01331,0.00698726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-22,-0.0217732,0.00725808,0.00709567,0.014028,2.67079e+07,1.48744,74.9024,-0.0135105,-0.00826268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-23,-0.0102482,-0.0121464,-0.000808264,0.014781,3.00999e+07,1.55267,67.0769,0.00209244,-0.0123406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-24,0.00533891,-0.0266291,0.000966455,0.0148869,3.11759e+07,0.837133,72.3158,0.000531431,0.00480748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-25,0.0127132,0.00768614,0.015,0.0156795,3.04068e+07,0.673113,68.3894,0.00846143,0.00425181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
