date,ret_1,ret_3,ret_6,volatility_6,volume_mean_6,rel_volume,rsi_14,spy_ret_1,sector_spy_diff,article_count,positive_proportion,neutral_proportion,negative_proportion,average_sentiment,max_positive_sentiment,max_negative_sentiment,sentiment_stddev,time_decayed_sentiment,entity_weighted_sentiment,holding_sentiment,abnormal_news_volume,article_novelty,source_weighted_sentiment,cross_article_disagreement,sector_breadth,macro_news_count,news_coverage,news_freshness_hours,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,target_next_close_up
2019-01-02,0.00839634,0.0177966,0.053971,0.0212589,7.89367e+07,0.797411,44.0758,0.00104031,0.00735603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-03,-0.0224813,-0.00466302,0.0524429,0.0216733,7.79328e+07,0.843415,37.2294,-0.0238628,0.00138146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-04,0.0332198,0.0184719,0.0403088,0.0180632,7.06836e+07,0.914475,47.8927,0.0334957,-0.00027594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-07,0.00123663,0.0112407,0.0292373,0.0179574,6.23773e+07,0.772188,50.499,0.00788464,-0.00664801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-08,0.000823324,0.0353492,0.0305214,0.0178919,6.46717e+07,1.39342,53.2359,0.00939533,-0.00857201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-09,0.00493627,0.00700742,0.0256088,0.017747,6.54386e+07,0.932738,55.3942,0.00467349,0.000262784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-10,0.000409342,0.00617536,0.0174854,0.0176722,6.30529e+07,0.771265,59.1611,0.00352756,-0.00311821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-11,0.00245497,0.00781574,0.0434412,0.012643,5.95916e+07,0.754496,62.5571,0.000386303,0.00206867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-14,0.00693878,0.00982398,0.0169002,0.00259366,5.72536e+07,0.883973,73.8578,-0.00610092,0.0130397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-15,0.00891769,0.0184124,0.0247015,0.00342061,5.90852e+07,1.00121,85.0543,0.0114608,-0.00254312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-16,0.0212937,0.037551,0.0456602,0.00733167,5.62298e+07,1.29793,82.8125,0.00241984,0.0188739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-17,0.00550745,0.0360762,0.0462546,0.00729624,5.53522e+07,1.00757,82.0261,0.00758671,-0.00207926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-18,0.0172144,0.0445962,0.0638298,0.00721092,5.69804e+07,1.02492,84.5272,0.01331,0.00390441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-22,-0.0115384,0.011015,0.0489796,0.0113637,6.27621e+07,1.2691,76.4045,-0.0135105,0.00197206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-23,0.00116727,0.00665102,0.0429671,0.0117075,6.16724e+07,0.714615,75.2212,0.00209244,-0.000925171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-24,0.00233196,-0.00807689,0.0361592,0.0118036,5.60624e+07,0.454795,89.6907,0.000531431,0.00180053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-25,0.00814266,0.0116731,0.0228167,0.00942225,5.4422e+07,1.16019,87.1795,0.00846143,-0.000318779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-28,-0.00307692,0.0073844,0.0140845,0.00975141,5.6276e+07,1.18869,84.1004,-0.00760023,0.00452331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-29,-0.00347223,0.00155095,-0.00653846,0.00665829,5.14496e+07,0.572251,80.8943,-0.00132699,-0.00214524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-30,0.00580719,-0.000769248,0.0108949,0.00464989,4.85204e+07,1.27939,81.1245,0.0158308,-0.0100236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-31,-0.00153961,0.000771623,0.00816172,0.00485134,5.18454e+07,1.23485,79.7619,0.00878244,-0.0103221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-01,0.00424051,0.0085172,0.0100814,0.004988,5.47493e+07,0.783943,80.1557,0.000481624,0.00375888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-04,0.00422267,0.00692842,0.00615384,0.00416861,4.92864e+07,0.616043,79.6813,0.00703545,-0.00281278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-05,-0.00267583,0.00578256,0.00655864,0.00409193,4.4653e+07,0.875527,75.4238,0.00419185,-0.00686768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-06,-0.00114989,0.000383886,0.00890436,0.00365977,4.83365e+07,1.06633,67.2043,-0.00131826,0.000168364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-07,-0.00997699,-0.0137615,-0.00692842,0.00527305,5.13896e+07,1.56443,56.0606,-0.0095328,-0.000444186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-08,-0.00503873,-0.0160981,-0.0104087,0.00551323,4.98712e+07,1.10106,40.1197,0.00122154,-0.00626027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-11,0.00311648,-0.0118956,-0.0115163,0.00528469,5.15704e+07,1.02996,51.7241,0.000554568,0.00256191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-12,0.0147572,0.0127907,-0.00114682,0.00846913,5.27886e+07,0.713626,61.1111,0.0128594,0.00189785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-13,0.00267897,0.0206467,0.0042162,0.00843657,5.34344e+07,0.804157,61.326,0.00324693,-0.000567958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-14,-0.0122138,0.00504851,-0.00690715,0.0100052,5.27822e+07,0.902389,46.875,-0.00221821,-0.00999559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-15,0.021252,0.0114811,0.0244186,0.0122736,4.71964e+07,0.993312,60.6695,0.0108973,0.0103547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-19,0.00151339,0.0103053,0.0311648,0.011576,4.20226e+07,0.567987,63.6752,0.00173058,-0.000217186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-20,0.00642237,0.0293663,0.0345631,0.01154,3.77549e+07,0.728624,63.983,0.00201547,0.0044069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-21,-0.00525523,0.00264849,0.01416,0.0113004,3.92463e+07,1.18788,61.3821,-0.00355587,-0.00169936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-22,-0.00150947,-0.000377795,0.0099236,0.0114045,3.64753e+07,0.722234,58.5774,0.00619999,-0.00770946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-25,0.00415724,-0.00262762,0.0266615,0.0091364,3.41763e+07,0.99004,58.5774,0.00136123,0.00279601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-26,-0.00301091,-0.000377367,0.00227013,0.00444438,3.23061e+07,1.10381,58.3333,-0.000715447,-0.00229546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-27,0.00377502,0.00491312,0.00453347,0.00465016,3.54184e+07,1.20114,60.7287,-0.000429597,0.00420462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-28,-0.00263256,-0.00188179,-0.00450446,0.00384963,3.74729e+07,1.06306,65.7895,-0.00186253,-0.000770023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-03-01,0.00641026,0.00755005,0.00716983,0.00405104,4.34792e+07,1.90108,71.9827,0.0062438,0.000166464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-04,-0.00636943,-0.00263256,0.00226763,0.00506466,5.18572e+07,1.47736,65.9751,-0.00363747,-0.00273196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-05,-0.00377075,-0.00377075,-0.00564545,0.00491586,5.28626e+07,0.754184,56.8075,-0.00136007,-0.00241068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-06,-0.00643452,-0.0164856,-0.00906001,0.0053841,5.41124e+07,0.797578,51.1211,-0.00605692,-0.0003776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-07,-0.0102857,-0.020362,-0.022941,0.0056864,5.7459e+07,1.08986,52.2936,-0.0083654,-0.00192033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-08,-0.00038492,-0.0170326,-0.0207391,0.00585568,6.01241e+07,0.928519,35.9756,-0.00199999,0.00161507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-03-11,0.0103966,-0.000380961,-0.0168603,0.00724711,5.69052e+07,1.11314,43.8503,0.0145012,-0.00410461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-03-12,0.00228657,0.0123172,-0.00829567,0.00726105,4.95567e+07,0.65624,40.3409,0.00377097,-0.0014844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-03-13,0.00684412,0.0196381,0.00227099,0.00783036,5.00482e+07,0.855524,49.4444,0.00661922,0.000224897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-03-14,0.00377645,0.0129573,0.0125714,0.00712678,4.91327e+07,0.766611,53.2258,-0.000639769,0.00441622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-03-15,0.00188108,0.0125475,0.0250192,0.00386857,5.03658e+07,1.39024,51.6667,0.000533482,0.0013476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-03-18,0.010139,0.015861,0.0358106,0.00379209,4.83915e+07,0.908852,60.3015,0.00362585,0.0065131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-19,-0.00780666,0.00413847,0.0171494,0.00607419,4.53391e+07,0.993167,52.381,0.000247963,-0.00805462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-20,-0.020607,-0.0184003,-0.00608364,0.0114439,5.08956e+07,1.29403,42.6356,-0.00300994,-0.0175971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
