date,ret_1,ret_3,ret_6,volatility_6,volume_mean_6,rel_volume,rsi_14,spy_ret_1,sector_spy_diff,article_count,positive_proportion,neutral_proportion,negative_proportion,average_sentiment,max_positive_sentiment,max_negative_sentiment,sentiment_stddev,time_decayed_sentiment,entity_weighted_sentiment,holding_sentiment,abnormal_news_volume,article_novelty,source_weighted_sentiment,cross_article_disagreement,sector_breadth,macro_news_count,news_coverage,news_freshness_hours,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,target_next_close_up
2019-01-02,0.00512334,0.0125117,0.04,0.0247956,1.46672e+07,1.00138,38.7665,0.00104031,0.00408303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-03,-0.0304294,-0.0156814,0.0402718,0.0247163,1.63632e+07,1.58747,32.2156,-0.0238628,-0.00656661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-04,0.0379162,0.0114889,0.0316706,0.0222052,1.67524e+07,1.18691,41.8391,0.0334957,0.00442049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-07,0.00813505,0.0145197,0.027213,0.0219923,1.69544e+07,0.896115,45.9682,0.00788464,0.000250409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-08,0.0137028,0.0606978,0.0440646,0.0219394,1.81465e+07,1.27129,51.8761,0.00939533,0.00430749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-09,0.00675874,0.0288564,0.0406768,0.0218966,1.81411e+07,0.553253,52.2176,0.00467349,0.00208525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-10,0.0135761,0.0344093,0.0494286,0.0220456,1.71766e+07,0.518171,58.7809,0.00352756,0.0100485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-11,-0.00103032,0.0193752,0.081249,0.0130159,1.46291e+07,0.730825,63.0421,0.000386303,-0.00141662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-14,-0.000147372,0.0123825,0.0415963,0.00636155,1.29994e+07,0.777382,70.2235,-0.00610092,0.00595355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-15,-0.00309459,-0.00426849,0.0299939,0.00745072,1.25534e+07,0.997128,80.0329,0.0114608,-0.0145554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-16,0.00103473,-0.00221013,0.0171222,0.00617954,1.07135e+07,1.12287,74.2312,0.00241984,-0.00138511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-17,0.0171293,0.0150309,0.0275996,0.00846787,1.28612e+07,1.7823,75.2041,0.00758671,0.00954258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-18,0.0190187,0.0375462,0.0331175,0.00978012,1.47145e+07,1.36058,79.3419,0.01331,0.00570865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-22,-0.0206583,0.015062,0.0128186,0.0145796,1.55885e+07,1.02225,68.4255,-0.0135105,-0.00714778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-23,0.00145473,-0.000580733,0.0144414,0.0145443,1.61115e+07,0.822008,67.7951,0.00209244,-0.000637703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-24,0.00508434,-0.014247,0.0227642,0.0143082,1.57522e+07,0.657798,82.4242,0.000531431,0.00455291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-25,0.0127186,0.0193483,0.0347017,0.0146477,1.59249e+07,0.820469,79.2857,0.00846143,0.00425713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-28,-0.00956184,0.00813488,0.00754942,0.0145681,1.42952e+07,0.919472,71.7798,-0.00760023,-0.00196161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-29,0.0138328,0.0169099,0.00242197,0.0134416,1.30225e+07,0.950972,71.9767,-0.00132699,0.0151598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-30,0.0156339,0.0198373,0.0395694,0.00957355,1.3182e+07,1.28148,73.9459,0.0158308,-0.000196908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-31,0.00433806,0.0341498,0.0425625,0.00934153,1.32859e+07,1.04375,72.1387,0.00878244,-0.00444439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-01,0.00153268,0.0216031,0.0388784,0.0095921,1.35331e+07,0.875262,73.0725,0.000481624,0.00105106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-04,0.0129382,0.0188917,0.0391037,0.00962087,1.26368e+07,0.608412,75.7544,0.00703545,0.00590278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-05,0.00865272,0.0232689,0.0582133,0.00559225,1.19594e+07,0.759163,78.8634,0.00419185,0.00446088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-06,0.000272285,0.0219811,0.0440591,0.00618803,1.24883e+07,1.24578,78.7575,-0.00131826,0.00159054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-07,-0.00680643,0.00206018,0.0209908,0.00686095,1.22748e+07,1.27183,71.8884,-0.0095328,0.00272637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-08,0.00150768,-0.00503816,0.0181135,0.00688636,1.26264e+07,1.26536,67.734,0.00122154,0.000286145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-11,0.00533734,0,0.0219811,0.0068995,1.19706e+07,0.660772,83.4278,0.000554568,0.00478277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-12,0.0155186,0.0224781,0.0245845,0.0076208,1.21741e+07,0.731857,85.5556,0.0128594,0.00265924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-13,0.00589816,0.0269605,0.0217865,0.00737066,1.20166e+07,0.676913,85.7143,0.00324693,0.00265122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-14,-0.00466416,0.0167439,0.0167439,0.00806075,1.13743e+07,1.02895,80.1567,-0.00221821,-0.00244595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-15,0.0133887,0.0146113,0.0374178,0.00743193,1.03712e+07,0.92498,89.3617,0.0108973,0.00249141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-19,-0.000396337,0.0082623,0.0354455,0.00770394,9.04088e+06,0.884294,87.5354,0.00173058,-0.00212692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-20,0.00475804,0.0178069,0.0348489,0.00771474,9.20782e+06,0.967808,86.076,0.00201547,0.00274257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-21,-0.00407784,0.000264191,0.0148794,0.00687538,8.85332e+06,0.76612,81.1709,-0.00355587,-0.000521971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-22,0.00660415,0.0072693,0.0155917,0.00695072,9.13377e+06,1.07479,82.2653,0.00619999,0.000404158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-25,0.00393653,0.00644574,0.0243674,0.00597382,8.86792e+06,1.1399,80.4277,0.00136123,0.0025753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-26,-0.00274473,0.00779295,0.0080592,0.0043581,9.22418e+06,1.27174,75.2651,-0.000715447,-0.00202928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-27,0.00393179,0.00511743,0.0124239,0.00437117,9.2306e+06,0.87029,76.431,-0.000429597,0.00436139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-28,-0.00339428,-0.00222201,0.00420941,0.00462673,9.16725e+06,0.930628,79.6492,-0.00186253,-0.00153175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-03-01,0.000917046,0.00144169,0.00924587,0.004,1.01679e+07,1.25755,79.5054,0.0062438,-0.00532675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-04,-0.00444973,-0.00691904,-0.00183702,0.0037447,1.17235e+07,1.63351,73.262,-0.00363747,-0.000812261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-05,-0.00644141,-0.00995539,-0.0121553,0.0037967,1.23422e+07,1.11978,59.8791,-0.00136007,-0.00508133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-06,-0.00939401,-0.0201544,-0.0187418,0.00487592,1.34651e+07,1.37158,48.3748,-0.00605692,-0.00333708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-07,-0.00601048,-0.0216906,-0.0284595,0.00347971,1.53103e+07,1.24783,47.4671,-0.0083654,0.00235492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-08,-0.00201561,-0.0173327,-0.0271155,0.00363424,1.62786e+07,0.880988,34.1517,-0.00199999,-1.5614e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-03-11,0.00848263,0.000400678,-0.0197618,0.00626257,1.66972e+07,0.916211,42.5197,0.0145012,-0.00601861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-12,-0.00827774,-0.00188121,-0.023531,0.00659086,1.65048e+07,1.09034,33.7079,0.00377097,-0.0120487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-03-13,0.00875069,0.00888654,-0.00860018,0.00816598,1.64327e+07,0.81471,43.1338,0.00661922,0.00213147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-14,-0.00333645,-0.00293727,-0.00253776,0.00730561,1.49607e+07,0.644119,35.9117,-0.000639769,-0.00269668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-15,-0.00923945,-0.00390416,-0.00577802,0.00790137,1.59266e+07,1.56342,28.3506,0.000533482,-0.00977294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-03-18,0.00973106,-0.00293609,0.00592436,0.00896269,1.52554e+07,0.676083,37.4408,0.00362585,0.00610521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-19,-0.00361393,-0.00321368,-0.00614151,0.00828127,1.4502e+07,0.743213,32.8572,0.000247963,-0.00386189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-20,-0.00685118,-0.000810887,-0.00471188,0.0080458,1.33793e+07,0.841554,31.6032,-0.00300994,-0.00384125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-03-21,0.00960367,-0.000936952,-0.00387029,0.0082502,1.29211e+07,0.823352,37.6912,0.0112947,-0.00169104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-22,-0.022642,-0.0200162,-0.0231656,0.0123663,1.43157e+07,1.25767,31.733,-0.0192463,-0.00339571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
