date,ret_1,ret_3,ret_6,volatility_6,volume_mean_6,rel_volume,rsi_14,spy_ret_1,sector_spy_diff,article_count,positive_proportion,neutral_proportion,negative_proportion,average_sentiment,max_positive_sentiment,max_negative_sentiment,sentiment_stddev,time_decayed_sentiment,entity_weighted_sentiment,holding_sentiment,abnormal_news_volume,article_novelty,source_weighted_sentiment,cross_article_disagreement,sector_breadth,macro_news_count,news_coverage,news_freshness_hours,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,target_next_close_up
2019-01-02,0.000645384,0.0077998,0.0476351,0.0281257,4.19206e+07,0.736769,38.0632,0.00104031,-0.000394927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-03,-0.0504676,-0.0408795,0.022041,0.0351765,4.31972e+07,1.15502,29.4454,-0.0238628,-0.0266048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-04,0.0443199,-0.00774443,0.00654667,0.0306618,4.04331e+07,1.02727,38.2691,0.0334957,0.0108242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-07,0.00894308,0.000483695,0.00828727,0.0307385,3.65897e+07,0.650927,43.3404,0.00788464,0.00105843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-08,0.00838035,0.0624894,0.0190553,0.0307919,3.43096e+07,0.757958,48.2568,0.00939533,-0.00101498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-09,0.0129455,0.0305691,0.022588,0.0309644,3.33637e+07,0.840579,49.1295,0.00467349,0.00827203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-10,0.00441778,0.0259468,0.0264431,0.0309277,3.18607e+07,0.686368,53.5058,0.00352756,0.000890222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-11,-0.001885,0.0155027,0.0789608,0.015845,2.61204e+07,0.591538,56.7683,0.000386303,-0.0022713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-14,-0.00928549,-0.00678448,0.0235772,0.0081715,2.16117e+07,0.670182,62.6093,-0.00610092,-0.00318457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-15,0.0150914,0.00377005,0.0298147,0.00922619,2.24179e+07,1.27818,72.0506,0.0114608,0.00363055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-16,0.000938929,0.00660998,0.0222151,0.00916777,2.12398e+07,0.89158,63.2163,0.00241984,-0.00148091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-17,0.00641031,0.0225576,0.0156201,0.00819817,1.99418e+07,1.01579,63.114,0.00758671,-0.0011764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
