date,ret_1,ret_3,ret_6,volatility_6,volume_mean_6,rel_volume,rsi_14,spy_ret_1,sector_spy_diff,article_count,positive_proportion,neutral_proportion,negative_proportion,average_sentiment,max_positive_sentiment,max_negative_sentiment,sentiment_stddev,time_decayed_sentiment,entity_weighted_sentiment,holding_sentiment,abnormal_news_volume,article_novelty,source_weighted_sentiment,cross_article_disagreement,sector_breadth,macro_news_count,news_coverage,news_freshness_hours,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,target_next_close_up
2019-01-02,-0.00590782,-0.00177971,0.00597846,0.0187339,2.42566e+07,0.843441,25.2376,0.00104031,-0.00694813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-03,-0.00574487,-0.00751436,0.029961,0.012561,2.40879e+07,0.916426,24.6646,-0.0238628,0.0181179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-04,0.021319,0.00945253,0.0233579,0.0103206,2.281e+07,0.833111,29.9424,0.0334957,-0.0121767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-07,-0.00136558,0.014065,0.0122602,0.0100756,1.93461e+07,0.782757,32.6701,0.00788464,-0.00925023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-08,0.0091815,0.0292887,0.0215543,0.0103931,1.99856e+07,1.41471,40.9817,0.00939533,-0.000213825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-09,-0.00929151,-0.00156063,0.00787715,0.0116239,2.01064e+07,0.780073,41.6957,0.00467349,-0.013965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-10,0.00586165,0.00566519,0.0198098,0.0111423,2.21019e+07,1.46737,46.3095,0.00352756,0.00233409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-11,0.00291378,-0.000580696,0.028691,0.0102645,2.03782e+07,0.575734,53.0184,0.000386303,0.00252748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-14,-0.00484215,0.00390779,0.00234106,0.00689658,1.85129e+07,0.42195,58.7209,-0.00610092,0.00125878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-15,0.00992601,0.00796426,0.0136746,0.0077932,1.78969e+07,0.639646,76.5993,0.0114608,-0.0015348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
