date,ret_1,ret_3,ret_6,volatility_6,volume_mean_6,rel_volume,rsi_14,spy_ret_1,sector_spy_diff,article_count,positive_proportion,neutral_proportion,negative_proportion,average_sentiment,max_positive_sentiment,max_negative_sentiment,sentiment_stddev,time_decayed_sentiment,entity_weighted_sentiment,holding_sentiment,abnormal_news_volume,article_novelty,source_weighted_sentiment,cross_article_disagreement,sector_breadth,macro_news_count,news_coverage,news_freshness_hours,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,target_next_close_up
2019-01-02,-0.0229032,-0.0175154,-0.0213247,0.0239733,1.07306e+07,0.97338,24.5763,0.00104031,-0.0239435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-03,0.00462197,-0.0164835,0.0207984,0.0172814,1.05811e+07,0.920867,28.5714,-0.0238628,0.0284847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-04,0.0101873,-0.0083871,-0.00065021,0.0116821,1.036e+07,0.928663,29.4294,0.0334957,-0.0233084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-07,0.00845804,0.02344,0.00551411,0.0121915,8.85828e+06,0.580451,32.3615,0.00788464,0.000573398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-08,0.0174194,0.0364772,0.0193924,0.0139447,8.3891e+06,0.903065,44.8781,0.00939533,0.00802405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-09,-0.00412178,0.0217957,0.0132258,0.0142708,7.93803e+06,0.642577,40.9396,0.00467349,-0.00879527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-10,0.0159185,0.0293548,0.053483,0.0078386,7.5034e+06,1.04449,47.7273,0.00352756,0.0123909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-11,0.00188027,0.0136334,0.0506079,0.00819389,6.39528e+06,0.483966,51.458,0.000386303,0.00149397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-14,-0.00312788,0.014645,0.03676,0.00929289,5.27818e+06,0.552899,59.0551,-0.00610092,0.00297304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-15,0.0112958,0.0100282,0.0396774,0.00950673,5.07538e+06,0.773341,78.1396,0.0114608,-0.000164961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-16,0.0046541,0.0128246,0.0266329,0.00790456,5.02872e+06,1.45085,73.1429,0.00241984,0.00223426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-17,0.00494132,0.0210229,0.0359758,0.00673194,4.74477e+06,0.715968,73.8162,0.00758671,-0.0026454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-18,0.00368774,0.0133416,0.0235036,0.00466835,4.7495e+06,1.65609,73.8889,0.01331,-0.00962227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-22,-0.00183715,0.00679424,0.0197059,0.00520199,5.58637e+06,1.45288,72.2222,-0.0135105,0.0116733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-23,0.000613511,0.00245845,0.023533,0.00445329,5.61457e+06,0.549909,90.0343,0.00209244,-0.00147893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-24,0.00398532,0.00275567,0.0161341,0.00269401,5.7234e+06,0.799874,90,0.000531431,0.00345389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-25,0.0116031,0.0162577,0.0231624,0.00454138,5.01265e+06,0.60475,90.2357,0.00846143,0.00314165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-28,0.0099607,0.0257511,0.0282728,0.00519413,5.3258e+06,0.990649,90.4605,-0.00760023,0.0175609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-29,0.00777054,0.0296184,0.0324556,0.00530635,4.43653e+06,0.570265,89.4927,-0.00132699,0.00909752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-30,0.00830364,0.0262602,0.0429448,0.00402838,3.93683e+06,1.30006,94.5017,0.0158308,-0.00752713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-31,0.00970594,0.0260013,0.0524219,0.00259373,4.593e+06,1.52939,94.1606,0.00878244,0.000923493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-01,-0.00611718,0.0118623,0.041832,0.006491,5.4682e+06,1.79752,87.1972,0.000481624,-0.00659881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-04,0.00586169,0.00941176,0.0359191,0.00606777,6.04857e+06,1.07688,90.9698,0.00703545,-0.00117376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-05,0.00670162,0.00640831,0.0325762,0.00577485,5.8669e+06,0.713494,90.5593,0.00419185,0.00250977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-06,-0.00781477,0.00468933,0.0166073,0.00767384,6.03443e+06,0.585838,81.8791,-0.00131826,-0.00649652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-07,0.00845977,0.00728438,0.0167647,0.00769636,6.23563e+06,1.01438,82.6365,-0.0095328,0.0179926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-08,0,0.000578884,0.00699091,0.00694048,5.5504e+06,0.524845,81.9397,0.00122154,-0.00122154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-11,0.00289264,0.0113769,0.0161196,0.00595003,4.40752e+06,0.67428,84.1583,0.000554568,0.00233807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-12,-0.00692235,-0.00404974,0.00320515,0.00681205,4.81907e+06,1.86403,77.8461,0.0128594,-0.0197818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-13,0.00668021,0.00260342,0.00318381,0.00680822,4.7467e+06,0.790402,78.5074,0.00324693,0.00343328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-14,0.00375075,0.00346129,0.0148775,0.00546916,4.82533e+06,0.830409,76.7742,-0.00221821,0.00596896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-15,0.00603619,0.0165553,0.0124385,0.00501375,4.21692e+06,0.634302,75.8389,0.0108973,-0.00486107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-19,0.00114288,0.0109637,0.0135956,0.00494103,4.38495e+06,0.894263,73.913,0.00173058,-0.000587697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-20,-0.00627857,0.000862282,0.00432655,0.00601135,4.42302e+06,0.723556,65.1852,0.00201547,-0.00829404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-21,0.00172319,-0.00342854,0.01307,0.00469886,3.67323e+06,1.22078,61.3168,-0.00355587,0.00527906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-22,0.00573397,0.00114158,0.0121178,0.0045317,3.62757e+06,0.958714,69.8348,0.00619999,-0.000466023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-25,-0.00826684,-0.000861539,0,0.0060292,3.63903e+06,1.12002,59.3626,0.00136123,-0.00962808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-26,-0.00201206,-0.00458715,-0.00799997,0.0052696,3.63902e+06,0.735006,53.6171,-0.000715447,-0.00129662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-27,-0.00316822,-0.013398,-0.0122717,0.00515655,3.52752e+06,0.92198,57.5343,-0.000429597,-0.00273862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-28,0.00288929,-0.00229956,-0.00315912,0.00500693,3.82782e+06,1.30678,53.5,-0.00186253,0.00475183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
