date,ret_1,ret_3,ret_6,volatility_6,volume_mean_6,rel_volume,rsi_14,spy_ret_1,sector_spy_diff,article_count,positive_proportion,neutral_proportion,negative_proportion,average_sentiment,max_positive_sentiment,max_negative_sentiment,sentiment_stddev,time_decayed_sentiment,entity_weighted_sentiment,holding_sentiment,abnormal_news_volume,article_novelty,source_weighted_sentiment,cross_article_disagreement,sector_breadth,macro_news_count,news_coverage,news_freshness_hours,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,target_next_close_up
2019-01-02,-0.0171958,-0.013093,-0.0334511,0.0209449,4.85996e+07,1.03597,21.7903,0.00104031,-0.0182361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-03,-0.000192238,-0.0157108,0.00853372,0.0104878,4.82403e+07,0.894999,22.7273,-0.0238628,0.0236705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-04,0.0148077,-0.00283442,0.00975894,0.010775,4.42951e+07,0.858041,25.2969,0.0334957,-0.018688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-07,-0.00682207,0.00769086,-0.00550286,0.0106557,3.98075e+07,0.817319,24.5675,0.00788464,-0.0147067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-08,0.0124022,0.0203846,0.00435358,0.0119625,3.83261e+07,0.86852,37.1161,0.00939533,0.00300691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-09,-0.0060309,-0.000568482,-0.00340129,0.0122508,3.89169e+07,0.928886,37.3656,0.00467349,-0.0107044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-10,0.013083,0.0194619,0.0273025,0.00999508,3.90117e+07,1.30515,43.1592,0.00352756,0.00955547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-11,-0.00374323,0.00320389,0.0236538,0.0104247,4.00967e+07,1.23913,42.2655,0.000386303,-0.00412953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-14,-0.0225437,-0.0134623,-0.0140232,0.0134542,4.15921e+07,1.12953,39.7936,-0.00610092,-0.0164428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-15,0.0123006,-0.0142243,0.00496085,0.0144003,4.52006e+07,1.19879,57.8059,0.0114608,0.000839775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-16,0.00360741,-0.00695095,-0.00376933,0.0134133,4.57688e+07,0.801778,54.5455,0.00241984,0.00118757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-17,0.00416196,0.0201807,0.00644672,0.0132343,4.66725e+07,0.890712,52.9781,0.00758671,-0.00342475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-18,0.00113032,0.00892351,-0.00542768,0.0119164,4.29047e+07,0.65982,52.4564,0.01331,-0.0121797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-22,0.00188186,0.00718882,0.000187904,0.0118693,4.0262e+07,0.840216,52.5317,-0.0135105,0.0153924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-23,0.0101427,0.0131876,0.0336344,0.00455934,3.71691e+07,0.764672,64.874,0.00209244,0.00805026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-24,0.00520644,0.0173128,0.0263908,0.0031858,3.54461e+07,1.23704,66.5595,0.000531431,0.00467501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-25,-0.0136885,0.00150259,0.00870221,0.00810344,3.53814e+07,1.02619,54.4426,0.00846143,-0.02215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-28,-0.00468867,-0.0132019,-0.000188435,0.00831472,3.31807e+07,0.854942,55.4276,-0.00760023,0.00291156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-29,0.00282648,-0.0155383,0.00150549,0.00839037,3.26687e+07,0.772514,51.4337,-0.00132699,0.00415347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-30,0.00770387,0.00581398,0.00732531,0.00893142,3.32235e+07,1.11842,57.8483,0.0158308,-0.0081269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-31,0.0210702,0.0318447,0.0182224,0.0117159,3.61803e+07,1.27592,60.8838,0.00878244,0.0122878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-01,-0.0038349,0.0249906,0.00906396,0.0119574,3.40598e+07,0.913829,60.7843,0.000481624,-0.00431652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
