date,ret_1,ret_3,ret_6,volatility_6,volume_mean_6,rel_volume,rsi_14,spy_ret_1,sector_spy_diff,article_count,positive_proportion,neutral_proportion,negative_proportion,average_sentiment,max_positive_sentiment,max_negative_sentiment,sentiment_stddev,time_decayed_sentiment,entity_weighted_sentiment,holding_sentiment,abnormal_news_volume,article_novelty,source_weighted_sentiment,cross_article_disagreement,sector_breadth,macro_news_count,news_coverage,news_freshness_hours,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,target_next_close_up
2019-01-02,-0.0151428,0.000587145,0.0304789,0.0237914,1.48283e+07,0.956272,34.522,0.00104031,-0.0161831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-03,-0.0203051,-0.0208798,0.0343247,0.0229078,1.54004e+07,1.14724,29.064,-0.0238628,0.00355765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-04,0.0298311,-0.00635768,0.0206602,0.0188958,1.46816e+07,1.10768,36.5639,0.0334957,-0.00366468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-07,0.00383902,0.0127935,0.0133881,0.0185448,1.44052e+07,0.85991,43.3016,0.00788464,-0.00404563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-08,0.00776449,0.0418114,0.0200586,0.0186641,1.40053e+07,0.95471,49.3893,0.00939533,-0.00163084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-09,0.00448481,0.0161703,0.00970982,0.0178699,1.41881e+07,0.793604,52.4919,0.00467349,-0.000188677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-10,0.00194617,0.0142542,0.02723,0.0158927,1.35576e+07,0.766864,56.3428,0.00352756,-0.00158138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-11,0.00331354,0.00977459,0.0519947,0.0104412,1.18109e+07,0.608584,61.1814,0.000386303,0.00292724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-14,-0.0110466,-0.0058386,0.0102373,0.00656278,1.00086e+07,0.544432,62.8872,-0.00610092,-0.00494567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-15,0.0179641,0.0100549,0.0244524,0.00935623,9.70083e+06,1.08657,74.4911,0.0114608,0.00650332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-16,-0.00181,0.00489694,0.0147194,0.00941105,8.85382e+06,0.936195,66.2621,0.00241984,-0.00422983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-17,0.00883951,0.0251036,0.0191185,0.00975785,8.43247e+06,1.03547,65.8476,0.00758671,0.0012528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-18,0.0119075,0.0190045,0.0292505,0.0103311,8.92758e+06,1.49733,68.3371,0.01331,-0.00140251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-22,-0.0068828,0.0138259,0.0187906,0.0114122,9.77035e+06,1.25323,61.7717,-0.0135105,0.00662769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-23,0.0011178,0.00606606,0.031322,0.009255,1.01493e+07,0.760918,69.2579,0.00209244,-0.000974637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-24,-0.00837427,-0.0140986,0.00463796,0.00820918,1.02770e+07,1.10022,75.822,0.000531431,-0.00890571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-25,0.00123861,-0.00603623,0.00770626,0.0081111,1.01026e+07,0.716839,68.5929,0.00846143,-0.00722283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-28,-0.0113585,-0.0184233,-0.012469,0.00855074,9.83292e+06,0.723468,59.375,-0.00760023,-0.00375823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-29,0.00489128,-0.00529221,-0.0193162,0.00651301,9.45487e+06,1.17391,58.2143,-0.00132699,0.00621827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-30,0.0136972,0.00708508,0.00100608,0.00908526,9.3652e+06,1.25,61.9306,0.0158308,-0.00213361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-31,0.0125069,0.0313957,0.0123939,0.0104003,1.03130e+07,1.30028,65.4867,0.00878244,0.00372448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-01,0.000882341,0.027281,0.0218444,0.00914713,9.99297e+06,0.939311,64.759,0.000481624,0.000400716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
