date,ret_1,ret_3,ret_6,volatility_6,volume_mean_6,rel_volume,rsi_14,spy_ret_1,sector_spy_diff,article_count,positive_proportion,neutral_proportion,negative_proportion,average_sentiment,max_positive_sentiment,max_negative_sentiment,sentiment_stddev,time_decayed_sentiment,entity_weighted_sentiment,holding_sentiment,abnormal_news_volume,article_novelty,source_weighted_sentiment,cross_article_disagreement,sector_breadth,macro_news_count,news_coverage,news_freshness_hours,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,target_next_close_up
2019-01-02,0.00757499,0.0184789,0.0639932,0.0254502,1.74427e+07,0.784372,41.9019,0.00104031,0.00653468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-03,-0.021652,-0.00367498,0.0611002,0.0260976,1.67451e+07,0.757955,35.5187,-0.0238628,0.00221076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-04,0.0330943,0.018382,0.0348969,0.0175618,1.52531e+07,0.953129,43.9761,0.0334957,-0.000401434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-07,0.0226123,0.0335806,0.05268,0.0188178,1.37542e+07,0.91072,51.4254,0.00788464,0.0147277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-08,0.0110561,0.0681353,0.0642099,0.0183589,1.41084e+07,1.33126,58.7259,0.00939533,0.00166082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-09,0.00508392,0.0391748,0.0582769,0.0184827,1.37575e+07,0.750512,58.3236,0.00467349,0.00041043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-10,-0.0028631,0.0132868,0.0473136,0.0191722,1.30639e+07,0.728724,62.4374,0.00352756,-0.00639065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-11,0.000957106,0.00316549,0.0715164,0.0135689,1.19595e+07,0.507146,68.9245,0.000386303,0.000570803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-14,-0.00611971,-0.00801676,0.030844,0.0103886,1.05191e+07,0.560521,75.5266,-0.00610092,-1.87881e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-15,0.00904363,0.00382843,0.0171661,0.00672614,9.68703e+06,0.777699,83.7696,0.0114608,-0.00241718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-16,-0.00228831,0.0005737,0.003741,0.00559484,8.05467e+06,1.11585,75.9539,0.00241984,-0.00470815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-17,0.00678516,0.0135655,0.00543997,0.00589817,7.79913e+06,1.1273,76.2784,0.00758671,-0.000801554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-18,0.0138586,0.018402,0.0223009,0.00746969,8.14517e+06,1.42369,78.4933,0.01331,0.000548549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-22,-0.0149799,0.00544724,0.00602407,0.010779,1.02155e+07,1.80973,69.2786,-0.0135105,-0.00146936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-23,0.001996,0.000664449,0.0142389,0.0101973,1.12676e+07,1.08351,68.2111,0.00209244,-9.6439e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-24,0.0041738,-0.00889427,0.00934404,0.00974802,1.13337e+07,0.699716,79.8843,0.000531431,0.00364237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-25,0.0110523,0.0172987,0.0228402,0.0101991,1.13e+07,0.777484,76.3606,0.00846143,0.00259088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-28,-0.00579272,0.00939106,0.0100617,0.0107371,1.18017e+07,1.00003,66.3367,-0.00760023,0.00180751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-29,-0.00648438,-0.0013225,-0.010205,0.00925724,1.08298e+07,0.532292,57.6166,-0.00132699,-0.00515739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
