symbol,timestamp_utc,open,high,low,close,volume
XLE,1577975400,30.219999,30.334999,30.115000,30.290001,23889400
XLE,1578061800,30.565001,30.655001,30.049999,30.200001,59005800
XLE,1578321000,30.305000,30.590000,30.200001,30.434999,44916200
XLE,1578407400,30.350000,30.385000,30.000000,30.355000,22925000
XLE,1578493800,30.325001,30.360001,29.815001,29.855000,38042800
XLE,1578580200,29.840000,30.105000,29.490000,30.075001,30733600
XLE,1578666600,30.059999,30.084999,29.870001,29.905001,18302400
XLE,1578925800,29.860001,30.010000,29.705000,29.915001,17557000
XLE,1579012200,29.850000,29.955000,29.655001,29.920000,34678000
XLE,1579098600,29.790001,29.879999,29.615000,29.700001,21661600
XLE,1579185000,29.875000,29.975000,29.735001,29.750000,16449000
XLE,1579271400,29.830000,29.844999,29.510000,29.559999,23818200
XLE,1579617000,29.395000,29.400000,28.980000,29.030001,34709200
XLE,1579703400,28.975000,28.995001,28.670000,28.750000,29355400
XLE,1579789800,28.450001,28.730000,28.230000,28.639999,26556000
XLE,1579876200,28.510000,28.639999,28.090000,28.309999,40781200
XLE,1580135400,27.740000,27.850000,27.490000,27.525000,43365000
XLE,1580221800,27.680000,27.820000,27.540001,27.650000,28600200
XLE,1580308200,27.805000,27.905001,27.325001,27.360001,27490800
XLE,1580394600,27.075001,27.610001,27.004999,27.580000,48861000
XLE,1580481000,27.115000,27.190001,26.580000,26.719999,66861000
XLE,1580740200,26.684999,26.725000,26.275000,26.370001,42578400
XLE,1580826600,26.750000,26.959999,26.415001,26.465000,39639600
XLE,1580913000,26.905001,27.555000,26.889999,27.459999,68764000
XLE,1580999400,27.590000,27.590000,27.135000,27.180000,30801200
XLE,1581085800,26.975000,27.105000,26.850000,26.990000,27386600
XLE,1581345000,26.850000,26.915001,26.690001,26.855000,29281200
XLE,1581431400,27.219999,27.260000,27.035000,27.155001,27689200
XLE,1581517800,27.559999,27.674999,27.295000,27.520000,34399600
XLE,1581604200,27.445000,27.590000,27.275000,27.434999,23949800
XLE,1581690600,27.530001,27.549999,27.120001,27.290001,25040000
XLE,1582036200,27.049999,27.285000,26.815001,27.065001,32629400
XLE,1582122600,27.245001,27.535000,27.094999,27.424999,24910800
XLE,1582209000,27.495001,27.700001,27.325001,27.395000,26101600
XLE,1582295400,27.135000,27.160000,26.844999,27.070000,27616400
XLE,1582554600,26.049999,26.200001,25.740000,25.820000,66075000
XLE,1582641000,25.889999,25.910000,24.520000,24.680000,85674600
XLE,1582727400,24.770000,24.889999,23.924999,23.934999,97656600
XLE,1582813800,23.315001,23.764999,22.645000,22.655001,122557400
XLE,1582900200,21.940001,22.920000,21.760000,22.635000,137511600
XLE,1583159400,23.139999,23.580000,22.465000,23.549999,73285400
