symbol,timestamp_utc,open,high,low,close,volume
XLRE,1577975400,38.790001,38.849998,38.070000,38.220001,4380100
XLRE,1578061800,37.990002,38.584999,37.970001,38.500000,3499000
XLRE,1578321000,38.430000,38.660000,38.349998,38.509998,3097200
XLRE,1578407400,38.400002,38.400002,37.884998,38.090000,3550600
XLRE,1578493800,38.130001,38.340000,37.990002,38.279999,5089000
XLRE,1578580200,38.250000,38.360001,38.150002,38.270000,2885000
XLRE,1578666600,38.349998,38.651001,38.264999,38.639999,6513200
XLRE,1578925800,38.660000,39.110001,38.650002,39.110001,2988100
XLRE,1579012200,39.070000,39.070000,38.705002,38.919998,3720200
XLRE,1579098600,39.020000,39.310001,39.009998,39.189999,4468700
XLRE,1579185000,39.279999,39.540001,39.180000,39.540001,4244500
XLRE,1579271400,39.520000,39.730000,39.470001,39.590000,3014700
XLRE,1579617000,39.599998,40.020000,39.529999,39.990002,2329500
XLRE,1579703400,40.099998,40.209999,39.599998,39.669998,5815200
XLRE,1579789800,39.689999,40.080002,39.590000,40.049999,2637800
XLRE,1579876200,40.130001,40.205002,39.840000,39.990002,2397900
XLRE,1580135400,39.750000,39.970001,39.709999,39.820000,6741600
XLRE,1580221800,39.869999,40.089001,39.770000,39.919998,2904300
XLRE,1580308200,40.049999,40.139999,39.669998,39.709999,5409600
XLRE,1580394600,39.580002,39.833000,39.509998,39.799999,3847400
XLRE,1580481000,39.700001,39.750000,39.134998,39.230000,7586200
XLRE,1580740200,39.389999,39.638000,39.235001,39.270000,6254800
XLRE,1580826600,39.410000,39.924999,39.334999,39.779999,5309500
XLRE,1580913000,39.820000,39.919998,39.650002,39.750000,3049300
XLRE,1580999400,39.880001,40.009998,39.799999,39.919998,2676700
XLRE,1581085800,39.939999,39.985001,39.825001,39.939999,3216600
XLRE,1581345000,40.070000,40.419998,40.029999,40.400002,3489300
XLRE,1581431400,40.540001,41.169998,40.540001,40.889999,10001700
XLRE,1581517800,40.939999,41.250000,40.790001,41.150002,2539700
XLRE,1581604200,41.090000,41.494999,41.040001,41.400002,2825500
XLRE,1581690600,41.500000,41.889999,41.439999,41.880001,2235200
XLRE,1582036200,41.930000,41.930000,41.590000,41.840000,3260100
XLRE,1582122600,41.849998,41.849998,41.250000,41.250000,2606100
XLRE,1582209000,41.360001,41.740002,41.160000,41.709999,3901800
XLRE,1582295400,41.709999,42.000000,41.660000,41.930000,2986900
XLRE,1582554600,41.439999,41.814999,41.181000,41.369999,4703100
XLRE,1582641000,41.480000,41.619999,40.180000,40.330002,9190200
XLRE,1582727400,40.380001,40.695000,39.890999,39.980000,8641900
XLRE,1582813800,39.320000,39.480000,37.709999,37.720001,15861500
XLRE,1582900200,36.919998,37.160000,35.693001,36.790001,44499000
XLRE,1583159400,36.970001,38.630001,36.880001,38.619999,19686200
XLRE,1583245800,38.700001,39.555000,38.220001,38.590000,37983700
XLRE,1583332200,39.099998,40.139999,39.040001,40.090000,13712900
XLRE,1583418600,39.430000,39.750000,38.730000,39.169998,13348200
XLRE,1583505000,38.320000,38.660000,37.240002,38.500000,16942300
XLRE,1583760600,36.450001,36.959999,35.750000,35.779999,12791800
XLRE,1583847000,36.700001,37.580002,35.400002,37.520000,18902400
XLRE,1583933400,36.610001,36.669998,35.150002,35.509998,16089100
XLRE,1584019800,33.259998,34.580002,28.000000,32.459999,9058600
XLRE,1584106200,34.169998,35.360001,32.529999,35.310001,9694900
XLRE,1584365400,31.799999,32.660000,29.430000,29.660000,5840100
XLRE,1584451800,30.110001,32.290001,29.440001,31.459999,7267800
XLRE,1584538200,29.600000,30.870001,28.370001,29.250000,12255800
XLRE,1584624600,28.820000,29.540001,28.000000,28.790001,13526100
XLRE,1584711000,28.950001,29.600000,26.969999,27.160000,16549800
XLRE,1584970200,26.879999,26.920000,24.879999,25.459999,28171300
XLRE,1585056600,26.629999,27.770000,26.219999,27.680000,15346800
XLRE,1585143000,27.879999,30.430000,27.480000,28.910000,18863500
XLRE,1585229400,29.160000,31.260000,28.959999,31.129999,17228600
XLRE,1585315800,30.170000,31.950001,30.150000,31.209999,11840800
XLRE,1585575000,31.379999,32.180000,30.690001,32.020000,10377700
XLRE,1585661400,31.790001,31.840000,30.270000,31.000000,9015800
XLRE,1585747800,29.600000,29.620001,28.480000,29.120001,11255400
XLRE,1585834200,28.780001,29.969999,28.760000,29.549999,11021700
XLRE,1585920600,29.340000,29.799999,28.770000,29.299999,7984100
XLRE,1586179800,30.410000,31.549999,30.410000,31.420000,9514500
XLRE,1586266200,32.680000,32.990002,31.410000,31.430000,19488600
XLRE,1586352600,31.840000,33.970001,31.500000,33.790001,27207800
XLRE,1586439000,34.400002,35.950001,34.349998,35.529999,49899800
XLRE,1586784600,35.330002,35.389999,33.695000,33.900002,9877300
XLRE,1586871000,34.590000,35.189999,34.590000,35.029999,6720300
XLRE,1586957400,34.110001,34.380001,33.389999,33.680000,5378900
XLRE,1587043800,33.730000,34.020000,33.264999,33.459999,4372800
XLRE,1587130200,34.349998,34.700001,33.959999,34.540001,6540400
XLRE,1587389400,33.930000,34.060001,33.259998,33.259998,5773900
XLRE,1587475800,32.480000,33.009998,32.369999,32.770000,7839500
XLRE,1587562200,33.270000,33.639999,33.020000,33.340000,5386000
XLRE,1587648600,33.400002,33.619999,32.889999,32.959999,6367800
XLRE,1587735000,33.130001,33.230999,32.715000,33.080002,5142700
XLRE,1587994200,33.349998,34.160000,33.349998,34.040001,4024200
XLRE,1588080600,34.639999,35.020000,34.040001,34.070000,5955000
XLRE,1588167000,34.759998,34.869999,34.139999,34.160000,6095100
XLRE,1588253400,33.709999,34.049999,33.369999,33.919998,6837500
XLRE,1588339800,33.090000,33.310001,32.680000,32.880001,5724300
XLRE,1588599000,32.590000,32.889999,32.090000,32.860001,6816600
XLRE,1588685400,33.139999,33.508999,33.025002,33.070000,4899400
