sector,symbol,effective_from,available_from,effective_to,weight,source
XLB,ALB,2019-09-30,2019-11-18,2099-12-31,1.117679596497,SEC-NPORT-2019q4
XLB,ALB,2019-12-31,2020-02-28,2099-12-31,1.097749114644,SEC-NPORT-2020q1
XLB,ALB,2020-03-31,2020-06-01,2099-12-31,1.153000046254,SEC-NPORT-2020q2
XLB,ALB,2020-06-30,2020-08-27,2099-12-31,1.321657956269,SEC-NPORT-2020q3
XLB,ALB,2020-09-30,2020-11-19,2099-12-31,1.351167850268,SEC-NPORT-2020q4
XLB,ALB,2020-12-31,2021-02-26,2099-12-31,1.90166704529,SEC-NPORT-2021q1
XLB,ALB,2021-03-31,2021-05-28,2099-12-31,1.908729614368,SEC-NPORT-2021q2
XLB,ALB,2021-06-30,2021-08-27,2099-12-31,2.106019348136,SEC-NPORT-2021q3
XLB,ALB,2021-09-30,2021-11-26,2099-12-31,2.819826682832,SEC-NPORT-2021q4
XLB,ALB,2021-12-31,2022-02-25,2099-12-31,2.638663086056,SEC-NPORT-2022q1
XLB,ALB,2022-03-31,2022-05-27,2099-12-31,2.577552959614,SEC-NPORT-2022q2
XLB,ALB,2022-06-30,2022-08-26,2099-12-31,2.949954630572,SEC-NPORT-2022q3
XLB,ALB,2022-09-30,2022-11-28,2099-12-31,4.085707242966,SEC-NPORT-2022q4
XLB,ALB,2022-12-31,2023-02-28,2099-12-31,2.880793368946,SEC-NPORT-2023q1
XLB,ALB,2023-03-31,2023-05-30,2099-12-31,2.848453957357,SEC-NPORT-2023q2
XLB,ALB,2023-06-30,2023-08-28,2099-12-31,2.814301193201,SEC-NPORT-2023q3
XLB,ALB,2023-09-30,2023-11-28,2099-12-31,2.261140101179,SEC-NPORT-2023q4
XLB,AMCR,2019-09-30,2019-11-18,2099-12-31,2.40269868761,SEC-NPORT-2019q4
XLB,AMCR,2019-12-31,2020-02-28,2099-12-31,2.489207846613,SEC-NPORT-2020q1
XLB,AMCR,2020-03-31,2020-06-01,2099-12-31,2.537635243118,SEC-NPORT-2020q2
