sector,quarter,report_date,available_from,accession,issuer_rows,unresolved_rows
XLC,2019q4,2019-09-30,2019-11-18,0001752724-19-166357,29,14
XLI,2019q4,2019-09-30,2019-11-18,0001752724-19-166353,71,21
XLF,2019q4,2019-09-30,2019-11-18,0001752724-19-166356,69,29
XLK,2019q4,2019-09-30,2019-11-18,0001752724-19-166370,70,24
XLRE,2019q4,2019-09-30,2019-11-18,0001752724-19-166259,34,8
XLP,2019q4,2019-09-30,2019-11-18,0001752724-19-166365,35,18
XLB,2019q4,2019-09-30,2019-11-18,0001752724-19-166363,30,9
XLE,2019q4,2019-09-30,2019-11-18,0001752724-19-166361,30,21
XLV,2019q4,2019-09-30,2019-11-18,0001752724-19-166359,64,22
XLU,2019q4,2019-09-30,2019-11-18,0001752724-19-166366,29,7
XLY,2019q4,2019-09-30,2019-11-18,0001752724-19-166364,65,17
XLU,2020q1,2019-12-31,2020-02-28,0001752724-20-042754,30,8
XLE,2020q1,2019-12-31,2020-02-28,0001752724-20-042748,30,20
XLV,2020q1,2019-12-31,2020-02-28,0001752724-20-042749,63,21
XLC,2020q1,2019-12-31,2020-02-28,0001752724-20-042746,28,13
XLK,2020q1,2019-12-31,2020-02-28,0001752724-20-042744,72,22
XLF,2020q1,2019-12-31,2020-02-28,0001752724-20-042753,68,28
XLI,2020q1,2019-12-31,2020-02-28,0001752724-20-042750,72,20
XLY,2020q1,2019-12-31,2020-02-28,0001752724-20-042743,66,18
XLP,2020q1,2019-12-31,2020-02-28,0001752724-20-042752,35,18
XLRE,2020q1,2019-12-31,2020-02-28,0001752724-20-042740,33,6
XLB,2020q1,2019-12-31,2020-02-28,0001752724-20-042755,30,9
XLP,2020q2,2020-03-31,2020-06-01,0001752724-20-111523,35,17
XLC,2020q2,2020-03-31,2020-06-01,0001752724-20-111518,28,13
XLK,2020q2,2020-03-31,2020-06-01,0001752724-20-111526,73,22
XLY,2020q2,2020-03-31,2020-06-01,0001752724-20-111520,66,18
XLU,2020q2,2020-03-31,2020-06-01,0001752724-20-111528,30,8
XLF,2020q2,2020-03-31,2020-06-01,0001752724-20-111519,68,29
XLB,2020q2,2020-03-31,2020-06-01,0001752724-20-111527,30,8
XLRE,2020q2,2020-03-31,2020-06-01,0001752724-20-111776,33,6
XLI,2020q2,2020-03-31,2020-06-01,0001752724-20-111521,73,19
