symbol,effective_from,effective_to,weight,source
AAPL,2019-09-30,2099-12-31,17.51932574376,SEC-NPORT-2019q4
AAPL,2019-12-31,2099-12-31,19.71343990177,SEC-NPORT-2020q1
AAPL,2020-03-31,2099-12-31,19.42788992025,SEC-NPORT-2020q2
AAPL,2020-06-30,2099-12-31,21.07682563727,SEC-NPORT-2020q3
AAPL,2020-09-30,2099-12-31,23.69699277677,SEC-NPORT-2020q4
AAPL,2020-12-31,2099-12-31,24.22638235042,SEC-NPORT-2021q1
AAPL,2021-03-31,2099-12-31,21.48462771169,SEC-NPORT-2021q2
AAPL,2021-06-30,2099-12-31,21.50719233738,SEC-NPORT-2021q3
AAPL,2021-09-30,2099-12-31,21.96571348183,SEC-NPORT-2021q4
AAPL,2021-12-31,2099-12-31,23.46250924786,SEC-NPORT-2022q1
AAPL,2022-03-31,2099-12-31,23.45406433069,SEC-NPORT-2022q2
AAPL,2022-06-30,2099-12-31,24.50198786432,SEC-NPORT-2022q3
AAPL,2022-09-30,2099-12-31,23.26103565248,SEC-NPORT-2022q4
AAPL,2022-12-31,2099-12-31,21.97450513358,SEC-NPORT-2023q1
AAPL,2023-03-31,2099-12-31,22.77570175659,SEC-NPORT-2023q2
AAPL,2023-06-30,2099-12-31,23.4563976784,SEC-NPORT-2023q3
AAPL,2023-09-30,2099-12-31,23.23034267301,SEC-NPORT-2023q4
ACN,2019-09-30,2099-12-31,2.256696579832,SEC-NPORT-2019q4
ACN,2019-12-31,2099-12-31,2.149403191056,SEC-NPORT-2020q1
ACN,2020-03-31,2099-12-31,1.89653311644,SEC-NPORT-2020q2
ACN,2020-06-30,2099-12-31,1.939700076612,SEC-NPORT-2020q3
ACN,2020-09-30,2099-12-31,1.829974161878,SEC-NPORT-2020q4
ACN,2020-12-31,2099-12-31,1.890673010724,SEC-NPORT-2021q1
ACN,2021-03-31,2099-12-31,1.952855780046,SEC-NPORT-2021q2
ACN,2021-06-30,2099-12-31,1.875869422651,SEC-NPORT-2021q3
ACN,2021-09-30,2099-12-31,2.005457926758,SEC-NPORT-2021q4
ACN,2021-12-31,2099-12-31,2.306570536825,SEC-NPORT-2022q1
ACN,2022-03-31,2099-12-31,2.088866634725,SEC-NPORT-2022q2
ACN,2022-06-30,2099-12-31,2.063154984601,SEC-NPORT-2022q3
ACN,2022-09-30,2099-12-31,2.124836807002,SEC-NPORT-2022q4
ACN,2022-12-31,2099-12-31,2.067544078025,SEC-NPORT-2023q1
ACN,2023-03-31,2099-12-31,2.369763737679,SEC-NPORT-2023q2
ACN,2023-06-30,2099-12-31,2.350642364808,SEC-NPORT-2023q3
ACN,2023-09-30,2099-12-31,2.428831974409,SEC-NPORT-2023q4
ADBE,2019-09-30,2099-12-31,2.469228482716,SEC-NPORT-2019q4
ADBE,2019-12-31,2099-12-31,2.566219216666,SEC-NPORT-2020q1
ADBE,2020-03-31,2099-12-31,2.818024675759,SEC-NPORT-2020q2
ADBE,2020-06-30,2099-12-31,2.974172637596,SEC-NPORT-2020q3
ADBE,2020-09-30,2099-12-31,2.994189190217,SEC-NPORT-2020q4
