quarter,report_date,accession,issuer_rows,unresolved_rows
2019q4,2019-09-30,0001752724-19-166370,70,24
2020q1,2019-12-31,0001752724-20-042744,72,22
2020q2,2020-03-31,0001752724-20-111526,73,22
2020q3,2020-06-30,0001752724-20-177385,73,21
2020q4,2020-09-30,0001752724-20-236142,73,20
2021q1,2020-12-31,0001752724-21-043938,75,21
2021q2,2021-03-31,0001752724-21-118952,76,22
2021q3,2021-06-30,0001752724-21-189786,77,21
2021q4,2021-09-30,0001752724-21-258701,78,21
2022q1,2021-12-31,0001752724-22-048813,79,19
2022q2,2022-03-31,0001752724-22-127619,78,17
2022q3,2022-06-30,0001752724-22-197027,79,16
2022q4,2022-09-30,0001752724-22-271215,79,16
2023q1,2022-12-31,0001752724-23-046947,79,14
2023q2,2023-03-31,0001752724-23-124009,69,13
2023q3,2023-06-30,0001752724-23-196439,68,12
2023q4,2023-09-30,0001752724-23-267549,68,12
